solution_id,Rx,Ry,Clip,Entropy,SSIM,VQI,ranking_SMARTER,ranking_TOPSIS,ranking_Bellman_Zadeh,ranking_PROMETHEE_II,ranking_GRA,ranking_VIKOR,ranking_CODAS,ranking_MABAC,borda_score,global_rank
56,2.0,11.0,2.618450357088889,7.472475890648756,0.7945122777110571,60.641479224481984,0.6585642262237434,0.5783882505408491,0.39706070466859456,0.18074806095367504,0.623740413560542,-0.14244806244032754,0.08814201850981469,0.11690011261247701,384.0,1
37,2.0,13.0,2.7204067851859666,7.479780135701046,0.7877262809052047,61.16361351859437,0.6584218232919427,0.5739257614624818,0.37210779610069217,0.19419370855490822,0.6286971448867997,-0.15992959787821318,0.08869745792819585,0.11675770968067628,381.0,2
52,2.0,17.0,2.7481352377056307,7.4772054565520865,0.7820171154945261,61.55554862437411,0.6546325879025199,0.5688182837891465,0.3511145232525778,0.202081358300551,0.6292271871699439,-0.18039433727308116,0.08886924410840767,0.1129684742912535,365.0,3
26,2.0,15.0,3.191658815297788,7.559225611858782,0.7470995302794764,64.14068249412945,0.6686790310461973,0.5502206923454641,0.22271845467034043,0.2779962442885689,0.6867746732912827,-0.24715799858867846,0.09481100181649443,0.12701491743493087,354.0,4
35,2.0,20.0,3.320576689318769,7.569446780394481,0.7359834353135466,64.9586449369769,0.6673931668874964,0.543793749435977,0.18184326576990564,0.30547789374160433,0.7023370630320573,-0.27744587919405467,0.09675083189205003,0.1257290532762299,352.0,5
19,2.0,23.0,2.5,7.412965502581337,0.8017056535443263,59.78643552394523,0.6366963449191256,0.5736858041450982,0.42351159384486436,0.14549865157749514,0.597406908673241,-0.15846410786231002,0.08543950224233005,0.0950322313078591,350.0,6
55,2.0,17.0,2.253044491812352,7.357968837965169,0.8281715006539239,57.871890392776805,0.6291351222156525,0.5875174291261863,0.5208296271407719,0.07265555871271509,0.5800474040352019,-0.10301969862176244,0.08456102022254801,0.08747100860438606,349.0,7
49,2.0,23.0,2.3069201264019283,7.362802836967329,0.8264543173098537,57.96344832721913,0.6297062094392847,0.5863518286122937,0.514515341973123,0.07621840212050193,0.5810450000587821,-0.10649080695865037,0.0845196075760479,0.08804209582801825,349.0,7
13,2.0,22.0,3.115838961905756,7.539885002040178,0.7516121069951176,63.712565138977055,0.6626529759325064,0.5508379518361408,0.23931173011867674,0.26556582853618627,0.6721415933219594,-0.24513637965739474,0.0933634431713121,0.12098886232123995,347.0,9
44,2.0,6.0,2.0911500015499764,7.335221266227643,0.8417568726705607,56.714154476875,0.6252199018220465,0.5908846041842647,0.5707846382453626,0.0393527620707973,0.5748432646654243,-0.07461234753568857,0.08457934514140988,0.08355578821077991,344.0,10
6,2.0,26.0,2.683343555752919,7.423148869925816,0.794942535467797,60.259321955363454,0.6370530169669821,0.5692170447002152,0.39864281305616434,0.15763181385770927,0.601758678426308,-0.1751044211911049,0.08579931828582936,0.09538890335571565,344.0,10
32,2.0,2.0,2.5,7.448685865500794,0.8070449892805742,58.48991896800449,0.6415553248515349,0.5685022821229471,0.4431449594728918,0.11730925978394938,0.6019866025915199,-0.1372615128469616,0.08415762492683362,0.09989121124026834,341.0,12
54,2.0,25.0,2.406528739697027,7.373177191908555,0.8167275598970156,58.63273275558714,0.6285631417470448,0.5799144497433314,0.4787489106987382,0.10017637652627263,0.5832545326283769,-0.13302128784777295,0.08432531029041322,0.08689902813577827,339.0,13
8,2.0,2.0,3.585084983207631,7.639002678612277,0.7125905728319317,65.10274270354634,0.6638859275541259,0.5221163969791612,0.09582495846067857,0.3285132822746941,0.7377566039039435,-0.3424412513043621,0.09803625048271812,0.12222181394285953,336.0,14
4,2.0,37.0,3.6414207135885066,7.598222507559845,0.7143843788526979,65.36098099951721,0.6545188462090771,0.5235310841078911,0.10242099422452215,0.32134843967861104,0.718465780919223,-0.35257598714512917,0.09768559066847086,0.11285473259781076,322.0,15
2,2.0,37.0,2.996871818216474,7.50693740529486,0.7576733529075894,62.81406086724333,0.6483597501668049,0.5475418556669398,0.2615996443910563,0.23822876665360465,0.6464614612595547,-0.25214719280807324,0.09033216955796361,0.10669563655553838,320.0,16
36,2.0,29.0,2.496934543535773,7.380209902202691,0.8069783038666162,59.162415786731,0.6245959687165901,0.5707664969631494,0.44289974936081616,0.11705003905018331,0.5840784761036633,-0.16403994279339734,0.08390717365955865,0.08293185510532364,318.0,17
48,2.0,20.0,2.1263205992818044,7.2984002756214625,0.8442836095568195,56.46262110771335,0.6123868087600124,0.5867570456285421,0.5626082947427528,0.026143343466631552,0.5650607701959531,-0.08832118966438132,0.08375890650265892,0.07072269514874596,317.0,18
33,2.0,33.0,3.6384363371157207,7.604549924113534,0.7112800712476397,65.43926971414072,0.6536886992124544,0.5212250255130895,0.09100608996626255,0.3250483000981945,0.7227181571284867,-0.3617733259811999,0.098003254505538,0.11202458560118789,315.0,19
27,2.0,16.0,1.7920288139245515,7.213690048975229,0.8759115967190653,53.88742299222561,0.5932553116885411,0.5854886983469594,0.44481269497942305,-0.028238715384781732,0.5574162187723541,-0.14739791508380795,0.08567537551981422,0.051591198077274636,303.0,20
41,2.0,26.0,4.0,7.664397558032036,0.6865307706142629,66.02469556016737,0.65,0.505300014850704,0.0,0.3585548396904882,0.7666666666666667,-0.4305030902337508,0.6650773882401437,0.1083358863887336,301.0,21
7,2.0,37.0,2.5500421679175544,7.366030449966045,0.8092650684151921,58.75637981781048,0.6178092543931224,0.5673512204854568,0.45130845162364713,0.1006302611862882,0.5775900072110149,-0.16887245336448473,0.08293770196887205,0.07614514078185597,300.0,22
31,2.0,48.0,3.591459819623254,7.557894407866918,0.7178660492993112,65.14786789518614,0.6420960204905826,0.5226946584862415,0.115223506044596,0.3036268839944764,0.6936542512452865,-0.36321254772979455,0.09599515262265869,0.1004319068793163,299.0,23
17,2.0,48.0,3.978932631773864,7.631366487067104,0.6957449861385591,65.70078089738118,0.6463054431275151,0.5091909054046824,0.0338817544541749,0.33942947583641436,0.7397951511557881,-0.41286622357790703,0.24063867560292973,0.10464132951624866,299.0,23
46,2.0,38.0,2.429020704522609,7.366030449966045,0.8092650684151921,58.75637981781048,0.6178092543931224,0.5673512204854568,0.45130845162364713,0.1006302611862882,0.5775900072110149,-0.16887245336448473,0.08293770196887205,0.07614514078185597,296.0,25
5,2.0,51.0,3.514522854388149,7.557894407866918,0.7178660492993112,65.14786789518614,0.6420960204905826,0.5226946584862415,0.115223506044596,0.3036268839944764,0.6936542512452865,-0.36321254772979455,0.09599515262265869,0.1004319068793163,293.0,26
14,3.0,27.0,3.072630448621517,7.377407816195237,0.7744317489483777,61.96098722336279,0.6137069708617648,0.5516659886930999,0.3232222381107947,0.1816763872799128,0.5950278961481513,-0.263896741248232,0.08625258273755414,0.07204285725049853,287.0,27
22,2.0,40.0,1.88337887948727,7.20665595656737,0.8626870052636731,54.406831009742845,0.5796518210474347,0.572070828199853,0.4685716355352399,-0.024741916735002117,0.5461872492879885,-0.1737276991648297,0.08257761014601464,0.037987707436168194,264.0,28
24,2.0,14.0,1.55,7.128550347905627,0.8991671688248547,51.781171397523,0.5685572061659847,0.573672057283953,0.3484678085963917,-0.10488120206265267,0.5562126448839212,-0.2465012381593907,0.08817492894088025,0.026893092554718223,252.0,29
30,2.0,29.0,1.7222419158301046,7.149184727019319,0.8831036102783071,52.87255211254755,0.5677661601829898,0.5712296891051388,0.39839012141701097,-0.07006546898004704,0.546533788405242,-0.23311537820112777,0.08497095451489563,0.02610204657172327,246.0,30
45,38.0,2.0,2.874114546788483,7.301863513525166,0.7951023318607099,59.88935940555282,0.5895200438386693,0.5512074304027186,0.3992304031915438,0.11449677367828906,0.5614916853066327,-0.24927615903701905,0.081609375688029,0.047855930227402865,244.0,31
50,3.0,36.0,2.5,7.243792682366249,0.8196981660210974,57.977463881817705,0.5784796554237153,0.5597706551283455,0.48967217888264514,0.04103259902469443,0.545201518310325,-0.2040462863258738,-0.05708913675350136,0.03681554181244884,242.0,32
15,3.0,31.0,2.3668155748997024,7.221103583019673,0.8286148395839074,57.30293629834836,0.5741026072578302,0.5623971840614913,0.5224598365412433,0.016672714544918643,0.5409001875713482,-0.18823693968891284,-0.056718388552766646,0.032438493646563815,241.0,33
38,2.0,43.0,1.9919218516356652,7.1818721770746095,0.864817491200747,54.04219128137892,0.5693333478590544,0.5662219322298907,0.45189215940412636,-0.03669284418791674,0.5409293598617898,-0.20748550216153427,0.08202122184223745,0.027669234247788,234.0,34
18,2.0,45.0,1.741558521161294,7.155340353150076,0.8827069651854317,52.609929521530105,0.5664606050942451,0.5669976999236149,0.3863771483435041,-0.07518435238484474,0.5460877644260613,-0.2308002548331624,0.08458670219355115,0.0247964914829788,232.0,35
59,2.0,37.0,1.7058631375605584,7.100528421052984,0.8901802099703663,51.92384516245288,0.5485705076995835,0.5601084524949609,0.35499404112558247,-0.11189147026438002,0.5410135580245058,-0.29772367201277905,0.08497732837544658,0.006906394088317058,207.0,36
58,2.0,31.0,1.3547374490945456,7.043457488100302,0.9127673753661332,50.19487873325711,0.5373955685831285,0.5570014061579858,0.275907062817817,-0.16539197391936822,0.5532917782149079,-0.35571248881374123,0.08950696647001206,-0.004268545028137838,200.0,37
57,5.0,15.0,2.11369587617386,7.114503986521033,0.8527244021470662,55.251404841012544,0.5434311708820031,0.5573768119260004,0.5068508203773525,-0.04111970253875019,0.5241622401846298,-0.2958803804993762,-0.052697068721183224,0.0017670572707365606,198.0,38
39,2.0,27.0,1.3252976464269677,7.033197855337729,0.9192856391633876,49.70703389346906,0.5365253548836866,0.5566549482317964,0.2535918960162154,-0.1755301221844369,0.5595770016497819,-0.3643505302636344,0.09111607731800425,-0.005138758727580017,196.0,39
53,2.0,25.0,1.2382855780771855,7.0034275467400615,0.9298099991502624,48.73958971489655,0.5283275167902474,0.5520807666715478,0.20933873096180322,-0.20088792336387465,0.5689208142404939,-0.3983158828582334,0.09356145797429286,-0.013336596821019175,192.0,40
9,13.0,7.0,3.115838961905756,7.212818742209995,0.7677266227281221,62.20815569057431,0.5488621025889222,0.5272647069687386,0.2985667001998442,0.13801047691226437,0.5519599675759931,-0.3826892728040465,0.08213816832634961,0.007197988977655778,187.0,41
43,14.0,2.0,1.7360291110756976,7.063289983487753,0.8888417950898264,52.15619762807812,0.5361467686060051,0.557396890264349,0.3656223876905339,-0.11770400773517206,0.5341282832698176,-0.3436132616902435,0.08422078549297664,-0.005517345005261354,180.0,42
3,2.0,57.0,1.6372683881960448,7.10600164651063,0.8846489063764976,51.869292019703295,0.5427912954752179,0.5517990686083752,0.3524986524677104,-0.1117293647100249,0.5356095583021829,-0.30291134288427796,0.08324204830175591,0.001127181863951443,179.0,43
16,2.0,42.0,1.212810522310388,6.95317952306959,0.9324503475072438,48.07947257403458,0.506151655291361,0.5414490802971443,0.1791434251893141,-0.2269252300701458,0.5641691206171429,-0.4687283686619148,0.09342472918057224,-0.035512458319905404,159.0,44
11,7.0,10.0,1.6158389619057556,7.0244516478290855,0.8926551333841556,51.79994547920055,0.5230483307689447,0.5525257915775065,0.34932657911113857,-0.13706145418896834,0.5306986887236507,-0.39169555006989043,0.08435851423445018,-0.018615782842321793,158.0,45
29,2.0,24.0,1.0,6.91288825273668,0.944545404558109,47.04166591740552,0.49539653948954077,0.5375914535020583,0.13167171541259162,-0.26827278136007937,0.5791763330309,-0.5141639739705297,0.09672432339096469,-0.046267574121725774,157.0,46
25,2.0,31.0,1.0,6.896711312660275,0.9463300270438711,46.78685109402021,0.4889763296450665,0.5349946995899566,0.12001588793712983,-0.278885652872087,0.5801497998376575,-0.5357044035790316,0.09709474616120548,-0.05268778396619994,154.0,47
42,4.0,29.0,1.977316183586293,7.037816270855763,0.8767847246475633,52.98666542167438,0.5209882954776234,0.549423084421965,0.40360993173324644,-0.1020068153094631,0.520984927636893,-0.3854539817829273,0.08119535113873647,-0.020675818133643165,146.0,48
60,2.0,36.0,1.0932712297778668,6.883332593820189,0.9468044303755214,46.596575253892,0.48261170775199924,0.5321616094264516,0.11131222487774281,-0.28825558747175617,0.5789324195100385,-0.555174055399396,0.09706524999738353,-0.05905240585926713,140.0,49
10,3.0,46.0,1.5783563494721795,6.985116986837143,0.9025803078810588,50.4861454197106,0.5066876070522319,0.5417200874886767,0.28923028397719885,-0.18144166524226457,0.5315825401955967,-0.445248116988248,0.0855250730688175,-0.034976506559034504,140.0,49
34,13.0,13.0,3.5060190437422456,7.146858456827406,0.7588746568204502,62.880049506069625,0.5214917047431189,0.5156517708964631,0.2660169802014749,0.1330698184814927,0.5434039200410568,-0.44814506091808093,0.08181095211039419,-0.020172408868147473,136.0,51
47,3.0,27.0,1.2228287869560732,6.901309100027281,0.9310327495884136,48.23656497736066,0.48751653034589804,0.5369334915923658,0.18632920004553447,-0.24208946166693507,0.55523471733588,-0.5347355834417611,0.09244830734985877,-0.05414758326536839,132.0,52
23,64.0,2.0,1.553445794537283,6.9651458480944966,0.9042759700255034,50.21289319267112,0.49858099580599036,0.5377876240931148,0.2767310864291744,-0.1911964673440666,0.5298737799458179,-0.4721240465350982,0.08554428112574052,-0.04308311780527607,126.0,53
28,46.0,2.0,1.0,6.780174298599172,0.9502136035427232,45.75434687362453,0.44036261762465906,0.5180135852665009,0.07278672402612622,-0.3450952625300343,0.5722000238402165,-0.694587219662399,0.09722417479706344,-0.10130149598660748,116.0,54
0,24.0,9.0,3.5893102776267805,7.103103697785383,0.7615819429136622,62.20946265668804,0.5016115499973702,0.5065147835751012,0.27597198965459047,0.1047990412667076,0.5276158398673235,-0.472451407478164,-0.29482332542877754,-0.04005256361389614,105.0,55
20,40.0,2.0,1.0,6.709212263219639,0.9563669420562568,44.82313036762502,0.4121771633403343,0.5094502493957089,0.030190697656734277,-0.38359782282741595,0.5771074574342571,-0.7891120585150755,0.09891772358813165,-0.12948695027093216,105.0,55
21,12.0,7.0,1.2508095082421538,6.779505280630479,0.9376366293549596,47.16711348084477,0.44009198473524463,0.5202525822282447,0.13740998109603644,-0.3141748427250565,0.5498216450138519,-0.695486079920488,0.09317433266140182,-0.1015721288760218,102.0,57
51,12.0,7.0,1.1881530450796116,6.779505280630479,0.9376366293549596,47.16711348084477,0.44009198473524463,0.5202525822282447,0.13740998109603644,-0.3141748427250565,0.5498216450138519,-0.695486079920488,0.09317433266140182,-0.1015721288760218,98.0,58
12,6.0,34.0,1.331025909491937,6.785200567386066,0.9359033493160084,47.07432736734259,0.43884323745074405,0.5178739115914911,0.13316572671266935,-0.31397842189782,0.5468321785801464,-0.6934081449779441,0.09254807663373758,-0.10282087616052238,94.0,59
1,42.0,12.0,1.410588295426176,6.54933218991812,0.9584829074718264,44.16311396746161,0.35,0.4946999851492961,0.0,-0.4497250297971487,0.5666666666666667,-1.0,0.19861230108152972,-0.19166411361126645,87.0,60
40,39.0,13.0,1.3879738973186295,6.590795297606978,0.9533274825670748,44.92739356945866,0.36697878436442044,0.49910291467362383,0.03495994097023851,-0.4265541048440158,0.5592593068886548,-0.9439689285389063,0.09749058380395778,-0.17468532924684593,86.0,61
